time_signature,speechiness,danceability,duration_ms,energy,track_href,mode,uri,type,track_album_release_date,analysis_url,id,instrumentalness,valence,key,tempo,loudness,acousticness,liveness,Popularity_Type
4.0,0.126,0.337,210581.0,0.877,https://api.spotify.com/v1/tracks/5DYMuWtQyr1J9Af0SMrDz8,0.0,spotify:track:5DYMuWtQyr1J9Af0SMrDz8,audio_features,2024-11-01,https://api.spotify.com/v1/audio-analysis/5DYMuWtQyr1J9Af0SMrDz8,5DYMuWtQyr1J9Af0SMrDz8,0.0306,0.125,11.0,155.063,-5.74,0.00575,0.104,Low
5.0,0.11,0.441,218320.0,0.737,https://api.spotify.com/v1/tracks/12Fkyg9lpmaz2zmKOfw2Y2,1.0,spotify:track:12Fkyg9lpmaz2zmKOfw2Y2,audio_features,2019-09-06,https://api.spotify.com/v1/audio-analysis/12Fkyg9lpmaz2zmKOfw2Y2,12Fkyg9lpmaz2zmKOfw2Y2,0.0,0.22,7.0,112.93,-5.053,0.059,0.102,Low
4.0,0.0332,0.843,170573.0,0.886,https://api.spotify.com/v1/tracks/6c6Erpk98fxwcqXI3bx8th,1.0,spotify:track:6c6Erpk98fxwcqXI3bx8th,audio_features,2002-07-31,https://api.spotify.com/v1/audio-analysis/6c6Erpk98fxwcqXI3bx8th,6c6Erpk98fxwcqXI3bx8th,0.000387,0.856,2.0,96.555,-5.3,0.0736,0.156,Low
4.0,0.0591,0.365,204867.0,0.763,https://api.spotify.com/v1/tracks/7txxAtOMwLLnQTpKeBL6bp,0.0,spotify:track:7txxAtOMwLLnQTpKeBL6bp,audio_features,1988-01-01,https://api.spotify.com/v1/audio-analysis/7txxAtOMwLLnQTpKeBL6bp,7txxAtOMwLLnQTpKeBL6bp,0.000457,0.342,11.0,148.366,-9.45,0.00726,0.0865,High
4.0,0.209,0.531,176380.0,0.83,https://api.spotify.com/v1/tracks/3V6c5KpTtIFHzmb1kofHPG,1.0,spotify:track:3V6c5KpTtIFHzmb1kofHPG,audio_features,2023-10-27,https://api.spotify.com/v1/audio-analysis/3V6c5KpTtIFHzmb1kofHPG,3V6c5KpTtIFHzmb1kofHPG,0.000104,0.662,8.0,97.766,-5.397,0.00424,0.119,Low
4.0,0.0757,0.791,160078.0,0.569,https://api.spotify.com/v1/tracks/7Ju9pGHiC9pAmDVwzYzmk2,0.0,spotify:track:7Ju9pGHiC9pAmDVwzYzmk2,audio_features,2024-08-14,https://api.spotify.com/v1/audio-analysis/7Ju9pGHiC9pAmDVwzYzmk2,7Ju9pGHiC9pAmDVwzYzmk2,0.0228,0.494,1.0,101.981,-9.972,0.309,0.155,Low
4.0,0.0327,0.635,142000.0,0.338,https://api.spotify.com/v1/tracks/4rwk2fkjHLRF5hnJiZRIAw,1.0,spotify:track:4rwk2fkjHLRF5hnJiZRIAw,audio_features,2023-11-10,https://api.spotify.com/v1/audio-analysis/4rwk2fkjHLRF5hnJiZRIAw,4rwk2fkjHLRF5hnJiZRIAw,0.927,0.366,9.0,78.015,-11.807,0.87,0.0931,Low
4.0,0.0607,0.703,245739.0,0.694,https://api.spotify.com/v1/tracks/7k3qWn8D43a5ISa3x8lJux,0.0,spotify:track:7k3qWn8D43a5ISa3x8lJux,audio_features,2022-05-26,https://api.spotify.com/v1/audio-analysis/7k3qWn8D43a5ISa3x8lJux,7k3qWn8D43a5ISa3x8lJux,5.8e-06,0.298,3.0,95.0,-4.808,0.436,0.12,High
4.0,0.222,0.677,270333.0,0.663,https://api.spotify.com/v1/tracks/5z1IjhVtDVXgGC66axmXsJ,1.0,spotify:track:5z1IjhVtDVXgGC66axmXsJ,audio_features,2007-08-28,https://api.spotify.com/v1/audio-analysis/5z1IjhVtDVXgGC66axmXsJ,5z1IjhVtDVXgGC66axmXsJ,3.85e-05,0.687,7.0,90.368,-5.479,0.282,0.402,Low
4.0,0.0566,0.679,158500.0,0.276,https://api.spotify.com/v1/tracks/4AGuFUu5ByoPbbFOqqFncE,0.0,spotify:track:4AGuFUu5ByoPbbFOqqFncE,audio_features,2018-11-21,https://api.spotify.com/v1/audio-analysis/4AGuFUu5ByoPbbFOqqFncE,4AGuFUu5ByoPbbFOqqFncE,0.869,0.302,11.0,141.957,-19.497,0.487,0.354,Low
